#,Season,Champions,Wins,Losses,KDA,Gold,Gold per Min,CS,CS per Min,Damage Dealt,Damage Taken,Double,Triple,Quadra,Penta
27,2023S2,Janna,0,1,1.2,"6,958",224,10,0.3,"3,834","20,546",0,0,0,0
28,2023S2,Vi,0,1,0.7,"12,278",329.5,191,5.1,"12,561","34,606",0,0,0,0
1,2023S1,Ezreal,17,16,3.86,"12,972",448.7,198.4,6.9,0,"18,070",27,3,2,
2,2023S1,Lux,11,4,5.55,"11,410",370.9,80.7,2.6,0,"13,877",6,1,0,
3,2023S1,Anivia,9,4,5.84,"11,744",454.3,191.4,7.4,0,"22,551",10,2,0,
4,2023S1,Cassiopeia,6,6,4.17,"13,968",448.5,205.2,6.6,0,"31,500",18,4,2,
5,2023S1,Jarvan IV,5,4,4.36,"12,838",439,147.6,5,0,"31,082",5,0,0,
6,2023S1,Lee Sin,5,4,3.08,"13,102",400.1,153.4,4.7,0,"32,983",4,0,0,
7,2023S1,Cho'Gath,4,5,1.93,"11,518",386.1,163.6,5.5,0,"39,849",4,0,0,
8,2023S1,Thresh,3,2,2.13,"8,510",280.6,36.4,1.2,0,"26,446",1,0,0,
9,2023S1,Galio,0,5,2.28,"11,657",387.6,151,5,0,"29,770",5,0,0,
10,2023S1,Amumu,1,3,2.61,"10,495",355.6,63,2.1,0,"29,628",2,1,0,
11,2023S1,Malzahar,1,2,2.31,"14,619",455.8,284,8.9,0,"18,536",3,0,0,
12,2023S1,Orianna,2,0,7,"9,399",453.3,167,8.1,0,"7,764",1,0,0,
13,2023S1,Ahri,1,1,3.67,"13,927",421.9,184.5,5.6,0,"27,138",1,0,0,
14,2023S1,Rakan,1,1,3.29,"7,845",295.7,38,1.4,0,"20,436",1,0,0,
15,2023S1,Azir,0,2,1.55,"11,091",402.5,205.5,7.5,0,"20,211",1,0,0,
16,2023S1,Poppy,1,0,5.67,"7,853",421.8,88,4.7,0,"14,790",1,0,0,
17,2023S1,Pantheon,1,0,1.38,"8,795",305.6,42,1.5,0,"18,962",0,0,0,
18,2023S1,Samira,1,0,1.33,"10,328",363.4,188,6.6,0,"16,716",0,0,0,
19,2023S1,Morgana,1,0,2.07,"13,405",330.4,58,1.4,0,"36,421",0,0,0,
20,2023S1,Sett,1,0,2.18,"13,307",312.5,58,1.4,0,"54,011",0,0,0,
21,2023S1,Seraphine,1,0,5.5,"11,505",403.7,225,7.9,0,"8,679",0,0,0,
22,2023S1,Zac,0,1,2.5,"12,810",311.8,158,3.8,0,"55,901",0,0,0,
23,2023S1,Annie,0,1,3,"10,274",410.4,171,6.8,0,"11,072",0,0,0,
24,2023S1,Nautilus,0,1,0.71,"7,802",217,33,0.9,0,"30,546",0,0,0,
25,2023S1,Ornn,0,1,3.33,"12,892",353.2,214,5.9,0,"38,700",0,0,0,
26,2023S1,Milio,0,1,4,"8,042",252.9,16,0.5,0,"18,935",0,0,0,
27,2023S1,Ekko,0,1,1.36,"11,987",398.2,154,5.1,0,"34,308",1,0,0,
28,2023S1,Kha'Zix,0,1,1,"7,281",362.2,76,3.8,0,"19,017",1,0,0,
29,2023S1,LeBlanc,0,1,3.6,"15,270",436.7,285,8.2,0,"29,056",0,0,0,
