#,Season,Champions,Lane,Wins,Losses,KDA,Gold,Gold per Min,CS,CS per Min,Damage Dealt,Damage Taken,Double,Triple,Quadra,Penta
20,2023S2,Zeri,,1,1,1.67,"13,989",467.5,222,7.4,"21,571","26,339",1,0,0,0
21,2023S2,Sivir,,1,1,2.36,"14,741",440.6,246.5,7.4,"22,153","24,317",3,0,0,0
22,2023S2,Kalista,,1,0,23,"13,971",564.1,191,7.7,"25,156","19,292",2,0,0,0
23,2023S2,Yasuo,,1,0,4.6,"17,582",504.5,282,8.1,"25,908","34,313",1,0,0,0
24,2023S2,Teemo,,1,0,1.56,"14,731",376.4,222,5.7,"23,999","33,873",0,0,0,0
25,2023S2,Blitzcrank,,1,0,2.5,"5,103",289.4,27,1.5,"4,125","10,372",0,0,0,0
26,2023S2,Xerath,,1,0,3,"5,488",302.6,13,0.7,"8,671","6,252",0,0,0,0
27,2023S2,Cassiopeia,,0,1,0.6,"13,653",408.6,201,6,"16,271","43,107",1,0,0,0
28,2023S2,Graves,,0,1,1.4,"9,092",385.3,144,6.1,"10,954","18,932",0,0,0,0
1,2023S1,Aphelios,,26,22,2.43,"13,301",445.4,216.2,7.2,0,"18,968",56,12,4,0
2,2023S1,Jinx,,7,18,2.06,"12,148",428.5,195.3,6.9,0,"18,513",27,6,0,0
3,2023S1,Ezreal,,11,10,2.32,"12,495",424.5,192.3,6.5,0,"17,814",13,2,1,0
4,2023S1,Miss Fortune,,6,10,2.79,"14,338",482.1,206.9,7,0,"23,191",31,3,1,0
5,2023S1,Vayne,,7,5,2,"12,090",414.7,183.4,6.3,0,"22,118",13,2,0,0
6,2023S1,Ashe,,5,6,2.75,"12,379",436.4,198.4,7,0,"19,477",12,4,0,0
7,2023S1,Zeri,,6,4,3.57,"14,564",486,231.8,7.7,0,"24,059",18,1,0,0
8,2023S1,Kog'Maw,,6,3,2.66,"11,920",444.3,181.8,6.8,0,"18,605",5,0,0,0
9,2023S1,Xayah,,5,3,2.74,"13,277",457,205.4,7.1,0,"20,860",11,0,0,0
10,2023S1,Nilah,,5,3,2.54,"12,299",429.8,192.4,6.7,0,"22,457",12,0,0,0
11,2023S1,Draven,,4,3,2.37,"13,788",480.1,185.3,6.5,0,"21,938",8,1,0,0
12,2023S1,Veigar,,2,4,2.62,"15,584",444.6,234.8,6.7,0,"31,825",3,1,0,0
13,2023S1,Samira,,2,4,2.6,"13,813",438.6,216.8,6.9,0,"23,555",9,3,1,1
14,2023S1,Varus,,2,3,1.69,"11,692",372.6,183.4,5.8,0,"18,594",1,1,0,0
15,2023S1,Senna,,3,1,3.14,"9,480",349.5,26.8,1,0,"15,359",0,0,0,0
16,2023S1,Jhin,,2,2,2.31,"15,033",444.4,213.3,6.3,0,"27,656",5,0,0,0
17,2023S1,Caitlyn,,2,1,4,"11,283",437.6,174,6.7,0,"16,943",3,0,0,0
18,2023S1,Lucian,,1,1,2.83,"13,390",410.5,198,6.1,0,"22,321",2,0,0,0
19,2023S1,Akshan,,1,1,1.13,"7,607",346.7,139,6.3,0,"11,643",0,0,0,0
20,2023S1,Kalista,,0,2,1.5,"12,261",381.6,190,5.9,0,"26,150",0,0,0,0
21,2023S1,Tristana,,1,0,2.25,"9,248",445.3,159,7.7,0,"12,092",1,0,0,0
22,2023S1,Swain,,1,0,0.89,"8,687",349.6,145,5.8,0,"19,830",0,0,0,0
23,2023S1,Kai'Sa,,1,0,2.8,"11,062",495.7,171,7.7,0,"15,178",2,0,0,0
24,2023S1,Sivir,,1,0,4,"10,269",490.6,181,8.6,0,"13,100",0,0,0,0
25,2023S1,Jayce,,1,0,2,"6,047",397.8,93,6.1,0,"5,999",0,0,0,0
26,2023S1,Teemo,,0,1,2.67,"17,188",449.2,223,5.8,0,"34,936",3,0,0,0
27,2023S1,Yone,,0,1,1.54,"14,452",405,165,4.6,0,"37,588",1,0,0,0
28,2023S1,Seraphine,,0,1,1.36,"8,670",366.9,112,4.7,0,"31,493",0,0,0,0
29,2023S1,Irelia,,0,1,1,"11,347",342.1,182,5.5,0,"33,677",1,0,0,0
30,2023S1,Thresh,,0,1,2,"10,594",295.6,42,1.2,0,"34,752",0,0,0,0
